数据库：分省年度数据
地区：甘肃省
时间：最近10年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
年末常住人口(万人),2647,2637,2626,2610,2600,2591,2582,2578,2564,2560
城镇人口(万人),,1258,1218,1166,1123,1080,1036,999,953,925
乡村人口(万人),,1379,1408,1444,1477,1511,1546,1579,1612,1635
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。
数据来源：国家统计局
