数据库：分省年度数据
地区：广东省
时间：最近10年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
年末常住人口(万人),11521,11346,11169,10999,10849,10724,10644,10594,10505,10441
城镇人口(万人),,8022,7802,7611,7454,7292,7212,7140,6986,6910
乡村人口(万人),,3324,3367,3388,3395,3432,3432,3454,3519,3531
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。
数据来源：国家统计局
