数据库：分省年度数据
地区：安徽省
时间：最近10年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
年末常住人口(万人),6366,6324,6255,6196,6144,6083,6030,5988,5968,5957
城镇人口(万人),,3459,3346,3221,3103,2990,2886,2784,2674,2562
乡村人口(万人),,2865,2909,2975,3041,3093,3144,3204,3294,3395
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。
数据来源：国家统计局
