数据库：分省年度数据
地区：福建省
时间：最近10年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
年末常住人口(万人),3973,3941,3911,3874,3839,3806,3774,3748,3720,3693
城镇人口(万人),,2594,2534,2464,2403,2352,2293,2234,2161,2109
乡村人口(万人),,1347,1377,1410,1436,1454,1481,1514,1559,1584
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。
数据来源：国家统计局
