数据库：分省年度数据
地区：北京市
时间：最近10年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
年末常住人口(万人),2154,2154,2171,2173,2171,2152,2115,2069,2019,1962
城镇人口(万人),,1863,1878,1880,1877,1858,1825,1784,1740,1686
乡村人口(万人),,291,293,293,293,294,290,286,279,275
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。
数据来源：国家统计局
